experiment;asymptotic;native real time;native user time;native sys time;native trigger time;native meval time
trigger-0-bounded-lhs-1-historically;4c;4.166;4.110;0.045;0.782808;2.09928
trigger-0-bounded-lhs-1-historically;8n;2.272;2.232;0.027;0.453966;1.08866
trigger-0-bounded-lhs-1-historically;8l;1.611;1.573;0.030;0.389114;1.07482
trigger-0-bounded-lhs-1-historically;8c;18.936;18.758;0.167;3.59802;8.807
trigger-0-bounded-lhs-1-historically;baseline;0.197;0.177;0.015;0.042215;0.114328
trigger-0-bounded-lhs-1-historically;2n;0.454;0.430;0.013;0.08057;0.269444
trigger-0-bounded-lhs-1-historically;2l;0.394;0.372;0.012;0.089234;0.248691
trigger-0-bounded-lhs-1-historically;2c;0.900;0.872;0.017;0.16271;0.5547
trigger-0-bounded-lhs-1-historically;4n;0.998;0.972;0.016;0.182385;0.495155
trigger-0-bounded-lhs-1-historically;4l;0.820;0.790;0.020;0.196545;0.540735
trigger-0-bounded-lhs-1-historically;4c;4.169;4.111;0.043;0.782391;2.10262
trigger-0-bounded-lhs-1-historically;8n;2.282;2.243;0.027;0.451305;1.08297
trigger-0-bounded-lhs-1-historically;8l;1.671;1.632;0.027;0.408268;1.11832
trigger-0-bounded-lhs-1-historically;8c;18.768;18.597;0.154;3.59698;8.75222
trigger-0-bounded-lhs-1-historically;baseline;0.203;0.183;0.014;0.044203;0.117936
trigger-0-bounded-lhs-1-historically;2n;0.452;0.428;0.018;0.080173;0.267207
trigger-0-bounded-lhs-1-historically;2l;0.409;0.387;0.011;0.09191;0.259638
trigger-0-bounded-lhs-1-historically;2c;0.907;0.880;0.018;0.170887;0.564803
trigger-0-bounded-lhs-1-historically;4n;1.037;1.008;0.017;0.189894;0.514767
trigger-0-bounded-lhs-1-historically;4l;0.808;0.781;0.021;0.194595;0.531547
trigger-0-bounded-lhs-1-historically;4c;4.099;4.044;0.042;0.757167;2.05278
trigger-0-bounded-lhs-1-historically;8n;2.245;2.208;0.029;0.444282;1.06913
trigger-0-bounded-lhs-1-historically;8l;1.657;1.619;0.031;0.402616;1.10843
trigger-0-bounded-lhs-1-historically;8c;18.838;18.663;0.159;3.58215;8.87233
trigger-0-bounded-lhs-1-historically;baseline;0.210;0.188;0.018;0.0445;0.120315
